Country,Year,Area Code (M49)_x,Element Code_x,Year Code_x,Value_x,Area Code (M49)_y,Element Code_y,Item Code,Year Code_y,Value_y,Magnitude,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Current_account_balance_pct_of_GDP,External_debt_stocks_pct_of_GNI,Foreign_direct_investment_net_inflows_pct_of_GDP
Australia,2008.0,36.0,5413.025936599423,2008.0,1204093.3495389048,36.0,529.6,3010.0,2008.0,12816734.2,168182.0,5.2,13.0,2008.0,5.4,16.0,1.6,0.0,4080.0,4080.0,503000.0,732855.0,68.63567228,-4.88206185813593,19.4905310721105,4.2770159784301
Australia,2009.0,36.0,5413.025936599423,2009.0,1214192.066224784,36.0,529.6,3010.0,2009.0,13061012.4,25429.8,3.6666666666666665,18.666666666666668,2009.0,4.166666666666667,20.5,89.16666666666667,416.6666666666667,5675.666666666667,6092.333333333333,251666.66666666666,367978.6666666667,68.39164268,-5.23144486271866,19.4905310721105,3.11521892910031
Australia,2010.0,36.0,5412.7558139534885,2010.0,1148145.7780523256,36.0,529.6,3010.0,2010.0,13280645.0,311793.875,5.625,17.875,2010.125,4.625,13.875,4.5,0.0,23250.0,23250.0,1266125.0,1821414.25,69.51329329,-4.00506862277956,19.4905310721105,3.0948394339821
Australia,2011.0,36.0,5412.7558139534885,2011.0,1142025.9866860465,36.0,529.6,3010.0,2011.0,13487869.8,38113.666666666664,4.333333333333333,13.0,2011.0,4.333333333333333,15.666666666666666,0.3333333333333333,0.0,2545.6666666666665,2545.6666666666665,851333.3333333334,1187227.0,71.70772361,-3.26400930085158,19.4905310721105,4.68881515477357
Australia,2012.0,36.0,5412.7558139534885,2012.0,1191813.6707267442,36.0,529.6,3010.0,2012.0,13705427.4,380577.0,1.5,23.0,2012.0,3.0,11.5,2.0,0.0,8000.0,8000.0,294000.0,401685.5,73.19159161,-4.44404469042498,19.4905310721105,3.72019933653419
Australia,2013.0,36.0,5412.7558139534885,2013.0,1261349.869360465,36.0,529.6,3010.0,2013.0,13924654.0,0.0,4.0,14.0,2013.0,4.0,26.0,3.0,0.0,2980.0,2980.0,788666.6666666666,1061981.0,74.26372907,-3.25799888383102,19.4905310721105,3.45392766613526
Australia,2014.0,36.0,5412.745664739884,2014.0,1289121.0918208093,36.0,529.6,3010.0,2014.0,14133173.6,13.0,3.75,13.75,2014.0,3.75,22.25,35.25,8.0,13131.75,13207.25,281250.0,372672.25,75.46845568,-3.09266163288854,19.4905310721105,4.3047066438758
Australia,2015.0,36.0,5412.745664739884,2015.0,1278158.922803468,36.0,529.6,3010.0,2015.0,14339112.0,86.25,4.875,18.875,2015.0,5.0,19.0,2.0,20.5,264.5,1097.625,341500.0,451970.875,75.55797677,-4.31257611103591,19.4905310721105,3.47020901785018
Australia,2016.0,36.0,5412.745664739884,2016.0,1241095.7544219652,36.0,529.6,3010.0,2016.0,14557155.0,158578.8525,4.25,5.0,2016.0,4.25,16.75,2.0,504.0,70.0,709.0,158750.0,207486.0,76.5112162,-3.61631218807461,19.4905310721105,3.56056595221134
Australia,2017.0,36.0,5412.745664739884,2017.0,1283194.76283237,36.0,529.6,3010.0,2017.0,14782527.6,19754.333333333332,2.6666666666666665,14.0,2017.0,3.0,9.333333333333334,4.0,0.6666666666666666,17009.0,17047.666666666668,1070000.0,1369319.6666666667,78.14100176,-3.00161155039194,19.4905310721105,3.63608951454838
Australia,2018.0,36.0,5412.745664739884,2018.0,1261713.7081791908,36.0,529.6,3010.0,2018.0,15002331.6,35210.85666666667,5.333333333333333,3.0,2018.3333333333333,4.0,3.6666666666666665,0.0,0.0,200.0,200.0,403800.0,504437.3333333333,80.04959626,-2.56116066582786,19.4905310721105,4.25033304779982
Australia,2019.0,36.0,5412.463768115942,2019.0,1193462.511768116,36.0,529.6,3010.0,2019.0,15210812.8,56655.666666666664,4.333333333333333,9.666666666666666,2019.3333333333333,2.3333333333333335,9.666666666666666,11.666666666666666,8.0,4153.0,6470.0,1333333.3333333333,1635985.3333333333,81.50030941,-0.0207105142276052,19.4905310721105,2.78196787472132
Australia,2020.0,36.0,5412.463768115942,2020.0,1089348.1127536232,36.0,529.6,3010.0,2020.0,15377151.8,0.0,4.333333333333333,18.0,2020.0,4.333333333333333,21.0,0.3333333333333333,0.0,0.0,0.0,1300000.0,1575649.0,82.50568385,1.87433748291951,19.4905310721105,1.35325605506287
Australia,2021.0,36.0,5412.463768115942,2021.0,1207998.1878550726,36.0,529.6,3010.0,2021.0,15522658.0,39.285714285714285,4.285714285714286,14.571428571428571,2021.0,4.571428571428571,11.285714285714286,1.0,0.0,4067.8571428571427,4102.571428571428,476428.5714285714,551539.0,86.38165694,2.61066078948374,19.4905310721105,2.0246819461122
Australia,2022.0,36.0,5412.444444444444,2022.0,1229300.0902849003,36.0,529.6,3010.0,2022.0,15679651.0,0.0,4.6,13.6,2022.0,4.8,16.6,6.2,2.4,49440.0,49442.4,1689200.0,1810608.4,93.29460735,0.337521409077969,19.4905310721105,4.16149504206489
Australia,2023.0,36.0,5403.615615615616,2023.0,1417926.0045045046,36.0,529.6,3010.0,2023.0,15837787.2,36.666666666666664,7.0,13.333333333333334,2023.0,7.0,16.5,1.6666666666666667,0.0,670.5,689.5,0.0,0.0,97.13499264,-0.300085449771847,19.4905310721105,1.87959171930092
Bangladesh,2000.0,50.0,5412.485074626866,2000.0,808786.973358209,50.0,529.6,3010.0,2000.0,80133970.4,1169.5133333333333,5.466666666666667,13.066666666666666,2000.0,5.6,12.533333333333333,14.8,43.93333333333333,184456.8,190200.73333333334,33333.333333333336,60721.8,54.89515197,-0.57304266329964,28.312285791779,0.525362089236089
Bangladesh,2001.0,50.0,5412.485074626866,2001.0,778190.1298507462,50.0,529.6,3010.0,2001.0,81543756.2,48.142857142857146,7.0,11.571428571428571,2001.0,7.0,11.571428571428571,36.142857142857146,678.5714285714286,103714.28571428571,104392.85714285714,0.0,0.0,56.44657635,-0.991687231894649,26.9258696430478,0.145443904569924
Bangladesh,2002.0,50.0,5412.485074626866,2002.0,756611.314216418,50.0,529.6,3010.0,2002.0,82893596.6,168.28571428571428,7.142857142857143,12.857142857142858,2002.142857142857,5.714285714285714,10.714285714285714,132.57142857142858,57.142857142857146,242843.42857142858,243043.42857142858,0.0,0.0,57.34184015,1.35086830489484,29.3237754107195,0.0955793676464671
Bangladesh,2003.0,50.0,5412.485074626866,2003.0,739471.2986940299,50.0,529.6,3010.0,2003.0,84191940.6,627.9571428571428,7.571428571428571,15.0,2003.142857142857,6.857142857142857,10.714285714285714,74.28571428571429,89.28571428571429,78928.57142857143,79017.85714285714,0.0,0.0,58.64355298,0.218816448007947,29.4649511156153,0.445960783298092
Bangladesh,2004.0,50.0,5412.485074626866,2004.0,715412.2706716418,50.0,529.6,3010.0,2004.0,85422640.2,2154.91,6.2,12.8,2004.0,6.7,15.1,103.4,335.0,3687260.4,3688995.4,270000.0,448403.8,60.213579730000006,-0.428022753319865,29.0231053050116,0.689472335587341
Bangladesh,2005.0,50.0,5412.483271375465,2005.0,732400.5311152417,50.0,529.6,3010.0,2005.0,86572534.6,2950.6666666666665,6.416666666666667,14.75,2005.0833333333333,5.5,18.416666666666668,27.666666666666668,175.5,96916.66666666667,98883.83333333333,0.0,0.0,62.25647853,-0.250074173604547,25.5020847255283,1.17065167448603
Bangladesh,2006.0,50.0,5412.483271375465,2006.0,736712.1331226766,50.0,529.6,3010.0,2006.0,87635990.2,4032.8571428571427,5.285714285714286,16.0,2006.0,5.857142857142857,13.0,22.0,180.57142857142858,32322.85714285714,32846.28571428572,0.0,0.0,64.26483222,1.66592495150091,26.5815575749539,0.635863899506714
Bangladesh,2007.0,50.0,5412.483271375465,2007.0,761313.6092565056,50.0,529.6,3010.0,2007.0,88623549.6,1049.0,6.285714285714286,17.285714285714285,2007.0,7.285714285714286,9.571428571428571,817.2857142857143,7906.0,3308507.0,3316445.1428571427,344857.14285714284,521735.28571428574,66.09810297,1.07621521358966,25.4056316582734,0.817756922700044
Bangladesh,2008.0,50.0,5412.481481481482,2008.0,795096.3239999999,50.0,529.6,3010.0,2008.0,89550868.4,11886.0,7.0,24.2,2008.0,7.4,17.2,13.6,90.4,120000.0,127218.0,0.0,0.0,68.63567228,1.01071124669571,23.6567567728032,1.44965791615761
Bangladesh,2009.0,50.0,5412.481481481482,2009.0,800401.5003703703,50.0,529.6,3010.0,2009.0,90440427.4,8202.333333333334,7.0,15.166666666666666,2009.1666666666667,5.333333333333333,18.666666666666668,58.0,1197.8333333333333,749560.5,750758.3333333334,45000.0,65797.5,68.39164268,3.47023264645131,22.9455982553559,0.879517142536145
Bangladesh,2010.0,50.0,5413.905109489051,2010.0,823504.8046350365,50.0,529.6,3010.0,2010.0,91310612.8,4897.5,5.833333333333333,11.666666666666666,2010.0,5.833333333333333,14.0,17.833333333333332,58.333333333333336,147840.0,147898.33333333334,0.0,0.0,69.51329329,1.82909794723498,21.3233746649766,1.06896766308322
Bangladesh,2011.0,50.0,5413.905109489051,2011.0,849344.0933576642,50.0,529.6,3010.0,2011.0,92218813.6,3840.9,6.2,9.8,2011.0,6.4,15.0,20.4,24.2,334511.8,334536.0,0.0,0.0,71.70772361,-0.125842241657654,19.4870042621521,0.983399364184761
